Player,Group,Team,Matches,Batting,Bowling,Fielding,Other,MOM,Total
Shazil Mirza,E,SC Krefeld Spartans,3,65,0,8,0,0,73
M.madeeh Ullah Jerral,F,Grey Caps Aachen,3,28,37,8,0,0,73
Kartik Chari,F,SC Krefeld Mavericks,1,13,60,0,0,0,73
Gopi Kiran Gogineni,E,CICC 1,4,1,63,8,0,0,72
Bilal Ahmad Amarkhil,A,Soest Strikers,4,62,2,8,0,0,72
Viraj Shetty,E,CICC 1,4,58,0,14,0,0,72
Khurshid Momand,B,Lenkerbeck Marl,2,0,44,28,0,0,72
Harsha Mohan Panchal,F,Gelsenkirchen United,1,2,70,0,0,0,72
Arnab Chakrabarti,F,SC Krefeld Mavericks,4,10,53,8,0,0,71
Sivaramachandraraju Indukuri,D,Koeln Blasters,6,55,0,16,0,0,71
Santhoshkumar Sundararaj,C,Bonn CC Blue,4,37,27,6,0,0,70
Vikramjit Singh,F,DWCC,2,13,43,14,0,0,70
Neeraj Saini,D,CICC Wizards,4,61,0,8,0,0,69
William Andrew Thorp Marriage,C,Bonn CC Blue,2,22,47,0,0,0,69
Nidhin D Anand,B,Westfalen Royals,3,-2,71,0,0,0,69
Zain-Ul-Abideen Hussain,B,SG Gelsenkirchen Muelheim U19,5,44,16,8,0,0,68
Harsimrat Harsimrat,F,Köln City Falcons CC,4,51,0,16,0,0,67
Amila De Zoysa,D,Bonn CC Yellow,2,54,5,8,0,0,67
Kawsar Khan,C,Bonn CC Blue,3,59,0,8,0,0,67
Sandeep Rathore,B,SC Krefeld Boosters,2,59,0,8,0,0,67
Zashid Malik Leo,D,Blackcaps Bisons,3,3,48,16,0,0,67
Surrya Rajan,A,Lemgo Leopards,2,58,0,8,0,0,66
Alen Sebastian,B,Westfalen Royals,2,2,64,0,0,0,66
Gautam Karamchand,C,Blackcaps Bulls,3,-2,62,6,0,0,66
Ziad Afghan,C,Moenchengladbach,4,10,55,0,0,0,65
Tauqeer Khan,D,Strass Rising Stars,2,-1,50,16,0,0,65
Mohammad Khalid Naseri,E,Bonn Blue Stars,4,23,42,0,0,0,65
Harshdeep Singh,B,SC Krefeld Boosters,3,65,0,0,0,0,65
Khalil Yousafzai,C,Moenchengladbach,5,48,0,16,0,0,64
Ijaz Ahmed Butt,B,Lenkerbeck Marl,4,36,0,28,0,0,64
Ananth Sharma,C,Bonn Golden Stars,2,48,0,16,0,0,64
Parth Kanani,E,Avengers,4,28,35,0,0,0,63
Jetho Arjandas Khemani,D,CICC Wizards,4,16,35,12,0,0,63
Ronit Satapathy,F,Gelsenkirchen United,3,54,0,8,0,0,62
Sanjay Nanda,E,Avengers,4,16,0,46,0,0,62
Dhruvkumar Patel,F,Koeln Kings,6,46,0,16,0,0,62
Javad Kallo Kkara,C,Moenchengladbach,4,17,45,0,0,0,62
Muhammad Hassan Manzar,F,Grey Caps Aachen,5,42,20,0,0,0,62
Sudhanva Krishna Shastry,F,DWCC,3,45,1,16,0,0,62
Muhammad Afzaal,D,Strass Rising Stars,1,62,0,0,0,0,62
